id,scheme_name,category,gender,state,business_type,business_stage,income,funding_need,documents,official_source,description
1,PMEGP,All,All,All,"Tailoring,Manufacturing,Handicraft,Food Business,Services",New Business,300000,2000000,"Aadhaar Card,PAN Card,Bank Account Details,Business Project Report,Caste Certificate (if applicable)",https://www.kviconline.gov.in/pmegpeportal/,"Prime Minister's Employment Generation Programme is a credit-linked subsidy scheme run by KVIC that supports new micro-enterprises, including small manufacturing and service businesses. (Prototype demo data.)"
2,Pradhan Mantri MUDRA Yojana,All,All,All,"Tailoring,Retail,Food Business,Services,Manufacturing,Handicraft",Existing Business,500000,1000000,"Aadhaar Card,PAN Card,Bank Statements (6 months),Business Existence Proof,Passport Size Photograph",https://www.mudra.org.in/,"MUDRA offers collateral-free loans under Shishu, Kishor and Tarun categories to small and micro business owners looking to start or expand a non-farm income-generating activity. (Prototype demo data.)"
3,Stand-Up India,SC,Female,All,"Manufacturing,Services,Trading",New Business,800000,10000000,"Aadhaar Card,PAN Card,SC/ST or Women Category Proof,Business Plan,Bank Account Details",https://www.standupmitra.in/,"Stand-Up India facilitates bank loans for setting up greenfield enterprises by SC/ST and women entrepreneurs, aimed at promoting entrepreneurship among underrepresented groups. (Prototype demo data.)"
4,PM Vishwakarma,OBC,All,All,"Handicraft,Tailoring,Manufacturing",New Business,300000,300000,"Aadhaar Card,PAN Card,Artisan/Craft Proof,Bank Account Details,Skill Certificate (if any)",https://pmvishwakarma.gov.in/,"PM Vishwakarma supports traditional artisans and craftspeople, including tailors and handicraft workers, with recognition, skill upgradation and access to affordable credit. (Prototype demo data.)"
5,Mahila Udyam Nidhi Scheme,General,Female,All,"Tailoring,Food Business,Retail,Handicraft",New Business,250000,1000000,"Aadhaar Card,PAN Card,Bank Account Details,Business Project Report,Income Certificate",Official source to be verified.,"A scheme oriented toward supporting women entrepreneurs setting up small-scale business ventures with easier access to term loans. (Prototype demo data — details require verification.)"
6,National SC-ST Hub Scheme,SC,All,All,"Manufacturing,Services,Retail",Existing Business,600000,5000000,"Aadhaar Card,PAN Card,SC/ST Certificate,GST Registration (if applicable),Bank Statements",https://scsthub.in/,"The National SC-ST Hub supports SC/ST entrepreneurs with market access, technology support, and handholding for growing an existing business. (Prototype demo data.)"
7,PMFME Scheme,All,All,All,"Food Business",New Business,400000,1000000,"Aadhaar Card,PAN Card,Business Project Report,Bank Account Details,FSSAI Registration (if applicable)",https://pmfme.mofpi.gov.in/,"The PM Formalisation of Micro Food Processing Enterprises scheme supports individual and group food processing units with credit-linked subsidy support. (Prototype demo data.)"
8,Rajasthan Rajshree Udyog Yojana,General,Female,Rajasthan,"Retail,Services,Handicraft",New Business,200000,500000,"Aadhaar Card,PAN Card,Domicile Certificate,Bank Account Details,Business Project Report",Official source to be verified.,"A state-level prototype scheme concept oriented toward supporting first-time women entrepreneurs in Rajasthan with small business setup support. (Prototype demo data — for demonstration only.)"
9,Gujarat MSME Assistance Scheme,All,All,Gujarat,"Manufacturing,Services,Retail,Tailoring",Expansion,700000,3000000,"Aadhaar Card,PAN Card,GST Registration,Udyam Registration,Bank Statements",Official source to be verified.,"A state-level prototype scheme concept representing assistance available to MSMEs in Gujarat looking to expand existing operations. (Prototype demo data — for demonstration only.)"
10,Startup India Seed Fund Scheme,General,All,All,"Services,Manufacturing,Retail,Technology",New Business,1000000,5000000,"Aadhaar Card,PAN Card,Udyam/DPIIT Recognition,Business Plan,Bank Account Details",https://seedfund.startupindia.gov.in/,"Provides financial assistance to early-stage startups for proof of concept, prototype development, product trials, and market entry. (Prototype demo data.)"
